date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jul,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Jul,1,0,0,,,,
3-Jul,1,0,0,,,,
4-Jul,1,0,0,,,,"Note: these folders have unnamed (as in no BG or Dark) pictures in addition to the BG, Dark, P12A, etc"
5-Jul,1,0,0,,,,
6-Jul,1,0,0,,,,
7-Jul,1,0,0,,,,
8-Jul,1,0,0,,,,
9-Jul,1,0,0,,,,
10-Jul,1,0,0,,,,
11-Jul,1,0,0,,,,
12-Jul,1,0,0,,,,
13-Jul,1,0,0,,,,
14-Jul,1,0,0,,,,
15-Jul,1,0,0,,,,
16-Jul,1,0,0,,,,
17-Jul,1,0,0,,,,
18-Jul,1,0,0,,,,
19-Jul,1,0,0,,,,
20-Jul,1,0,0,,,,
21-Jul,1,0,0,,,,
22-Jul,1,0,0,,,,
29-Jul,1,0,0,,,,
30-Jul,1,0,0,,,,
31-Jul,1,0,0,,,,
,,,,,,,
