date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jan,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Jan,1,0,0,,,,
3-Jan,1,0,0,,,,
4-Jan,1,0,0,,,,"Note: these folders have unnamed (as in no BG or Dark) pictures in addition to the BG, Dark, P12A, etc"
5-Jan,1,0,0,,,,
6-Jan,1,0,0,,,,
7-Jan,1,0,0,,,,
8-Jan,1,0,0,,,,
9-Jan,1,0,0,,,,
10-Jan,1,0,0,,,,
11-Jan,1,0,0,,,,
12-Jan,1,0,0,,,,
13-Jan,1,0,0,,,,
14-Jan,1,0,0,,,,
15-Jan,1,0,0,,,,
16-Jan,1,0,0,,,,
23-Jan,1,0,0,,,,
24-Jan,1,0,0,,,,
25-Jan,1,0,0,,,,
26-Jan,1,0,0,,,,
27-Jan,1,0,0,,,,
28-Jan,1,0,0,,,,
29-Jan,1,0,0,,,,
30-Jan,1,0,0,,,,
31-Jan,1,0,0,,,,
,,,,,,,
