date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-May,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-May,1,0,0,,,,
3-May,1,0,0,,,,
7-May,1,0,0,,,,
8-May,0,0,0,,unprocessed files are there but no processing has been done,,
9-May,1,0,0,,,,
10-May,1,0,0,,,,
11-May,1,0,0,,,,
18-May,1,0,0,,,,
19-May,1,0,0,,,,
20-May,1,0,0,,,,
21-May,1,0,0,,,,
22-May,1,0,0,,,,
23-May,1,0,0,,,,
24-May,1,0,0,,,,
25-May,1,0,0,,,,
26-May,1,0,0,,,,
27-May,1,0,0,,,,
28-May,1,0,0,,,,
29-May,1,0,0,,,,
30-May,1,0,0,,,,
31-May,1,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
