date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Sep,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
2-Sep,1,1,1,P12A,,,
3-Sep,1,1,1,P12A,,,
4-Sep,1,1,1,P12A,,,
5-Sep,1,0,0,,,,
12-Sep,1,0,0,,,,
13-Sep,1,1,1,P12A,,,
14-Sep,1,0,0,,,,
15-Sep,1,1,1,P12A,,,
16-Sep,1,0,0,,,,
17-Sep,1,0,0,,,,
18-Sep,1,1,1,P12A,,,
19-Sep,1,1,1,P12A,,,
20-Sep,1,1,1,P12A,,,
21-Sep,1,1,1,P12A,,,
22-Sep,1,0,0,,,,
23-Sep,1,0,0,,,,
24-Sep,1,0,0,,,,
25-Sep,1,0,0,,,,
26-Sep,1,0,0,,,,
27-Sep,1,0,0,,,,
28-Sep,1,0,0,,,,
29-Sep,1,0,0,,,,
30-Sep,1,0,0,,,,
,,,,,,,
,,,,,,,
