date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Feb,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Feb,1,0,0,,,,
3-Feb,1,0,0,,,,
4-Feb,1,0,0,,,,
5-Feb,1,0,0,,,,
6-Feb,1,0,0,,,,
7-Feb,1,0,0,,,,
8-Feb,1,0,0,,,,
9-Feb,1,0,0,,,,
10-Feb,1,0,0,,,,
11-Feb,1,0,0,,,,
12-Feb,1,0,0,,,,
13-Feb,1,0,0,,,,
14-Feb,1,0,0,,,,
15-Feb,1,0,0,,,,
16-Feb,1,0,0,,,,
17-Feb,1,0,0,,,,
18-Feb,1,0,0,,,,
19-Feb,1,0,0,,,,
26-Feb,1,0,0,,,,
27-Feb,1,0,0,,,,
28-Feb,1,0,0,,Changed unprocessed folder from 28-01 to 28-29 to match processed folder and leap year,,
,,,,,* Change only on 2TB Seagate drive,,
,,,,,,,
,,,,,,,
,,,,,,,
