date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
7-Nov,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
8-Nov,1,0,0,,,,
9-Nov,1,0,0,,,,
10-Nov,1,0,0,,,,
11-Nov,1,0,0,,,,
12-Nov,1,0,0,,,,
13-Nov,1,0,0,,,,
14-Nov,1,0,0,,,,
15-Nov,1,0,0,,,,
16-Nov,1,0,0,,,,
17-Nov,1,0,0,,,,
18-Nov,1,0,0,,,,
19-Nov,1,0,0,,,,
20-Nov,1,0,0,,,,
21-Nov,1,0,0,,,,
22-Nov,1,0,0,,,,
23-Nov,1,0,0,,,,
24-Nov,1,0,0,,,,
25-Nov,1,0,0,,,,
26-Nov,1,0,0,,,,
27-Nov,1,0,0,,,,
28-Nov,1,0,0,,,,
29-Nov,1,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
