date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
7-Aug,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
8-Aug,1,0,0,,,,
9-Aug,1,0,0,,,,
10-Aug,1,0,0,,,,
11-Aug,1,0,0,,,,
12-Aug,1,0,0,,,,
13-Aug,1,0,0,,,,
14-Aug,1,0,0,,,,
15-Aug,1,0,0,,,,
16-Aug,1,0,0,,,,
17-Aug,1,0,0,,,,
18-Aug,1,0,0,,,,
19-Aug,1,0,0,,,,
20-Aug,1,0,0,,,,
21-Aug,1,0,0,,,,
22-Aug,1,0,0,,,,
23-Aug,1,0,0,,,,
24-Aug,1,0,0,,,,
25-Aug,1,0,0,,,,
26-Aug,1,0,0,,,,
27-Aug,1,0,0,,,,
28-Aug,1,0,0,,,,
29-Aug,1,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
