date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jun,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Jun,1,0,0,,,,
3-Jun,1,0,0,,,,
4-Jun,1,0,0,,,,
5-Jun,1,0,0,,,,
6-Jun,1,0,0,,,,
7-Jun,1,0,0,,,,
8-Jun,1,0,0,,,,
9-Jun,1,0,0,,,,
10-Jun,1,0,0,,,,
11-Jun,1,0,0,,,,
12-Jun,1,0,0,,,,
13-Jun,1,0,0,,,,
14-Jun,1,0,0,,,,
16-Jun,1,0,0,,,,
17-Jun,0,0,0,,No processed folder,,
18-Jun,0,0,0,,No processed folder,,
19-Jun,0,0,0,,No processed folder,,
20-Jun,0,0,0,,No processed folder,,
21-Jun,0,0,0,,No processed folder,,
27-Jun,0,0,0,,No processed folder,,
28-Jun,0,0,0,,No processed folder,,
29-Jun,0,0,0,,No processed folder,,
30-Jun,0,0,0,,processed folder is empty,,
,,,,,,,
,,,,,,,
