date ,sr count,sr percent,ff count,ff percent,caun count,caun percent,Note
Aug_2009,20,100,0,0,0,0,
Sep_2009,22,100,0,0,0,0,
Oct_2009,23,100,0,0,0,0,
Nov_2009,22,95.65217391,0,0,0,0,
Dec_2009,24,100,0,0,0,0,
Jan_2010,25,100,0,0,0,0,
Feb_2010,23,100,0,0,0,0,
Mar_2010,24,100,0,0,0,0,
Apr_2010,24,100,0,0,0,0,
May_2010,24,96,0,0,0,0,
Jun_2010,15,100,1,6.666666667,1,6.666666667,
Jul_2010,25,100,0,0,0,0,
Aug_2010,23,100,0,0,0,0,
Sep_2010,23,100,0,0,0,0,
Oct_2010,24,100,0,0,0,0,
Nov_2010,24,100,0,0,0,0,
Dec_2010,25,100,0,0,0,0,
Jan_2011,25,100,0,0,0,0,
Feb_2011,23,100,0,0,0,0,
Mar_2011,26,100,0,0,0,0,
Apr_2011,19,100,0,0,0,0,
May_2011,26,100,0,0,0,0,
Jun_2011,22,100,1,4.545454545,1,4.545454545,
Jul_2011,25,100,0,0,0,0,
Aug_2011,25,100,0,0,0,0,
Sep_2011,23,100,0,0,0,0,
Oct_2011,22,100,0,0,0,0,
Nov_2011,23,100,0,0,0,0,
Dec_2011,24,100,0,0,0,0,
Jan_2012,25,100,0,0,0,0,
Feb_2012,14,100,0,0,0,0,
Mar_2012,25,100,0,0,0,0,
Apr_2012,25,100,0,0,0,0,
May_2012,26,100,0,0,0,0,
Jun_2012,25,100,17,68,17,68,
Jul_2012,22,100,22,100,22,100,
Aug_2012,19,100,0,0,0,0,
Sep_2012,23,100,0,0,0,0,
Oct_2012,20,100,0,0,0,0,
Nov_2012,23,100,0,0,0,0,
Dec_2012,23,100,0,0,0,0,
Jan_2013,25,100,0,0,0,0,
Feb_2013,22,100,0,0,0,0,
Mar_2013,12,100,0,0,0,0,
Apr_2013,20,100,0,0,0,0,
May_2013,20,100,15,75,15,75,
Jun_2013,25,100,11,44,11,44,
Jul_2013,16,100,14,87.5,14,87.5,
Aug_2013,25,100,14,56,14,56,
Sep_2013,25,100,0,0,0,0,
Oct_2013,22,100,0,0,0,0,
Nov_2013,23,100,0,0,0,0,
Dec_2013,23,100,0,0,0,0,
Jan_2014,22,91.66666667,0,0,0,0,
Feb_2014,19,86.36363636,0,0,0,0,
Mar_2014,21,100,0,0,0,0,
Apr_2014,21,100,0,0,0,0,
May_2014,21,95.45454545,0,0,0,0,
Jun_2014,24,100,24,100,24,100,
Jul_2014,26,100,26,100,26,100,
Aug_2014,26,100,26,100,26,100,
Sep_2014,24,100,10,41.66666667,10,41.66666667,
Oct_2014,24,100,0,0,0,0,
Nov_2014,24,100,0,0,0,0,
Dec_2014,25,100,0,0,0,0,
Jan_2015,24,100,1,4.166666667,0,0,
Feb_2015,15,100,0,0,0,0,
Mar_2015,17,94.44444444,0,0,0,0,
Apr_2015,16,100,0,0,0,0,
Jul_2015,18,100,1,5.555555556,0,0,
Aug_2015,6,100,0,0,0,0,
Sep_2015,17,100,0,0,0,0,
Oct_2015,26,100,0,0,0,0,
Nov_2015,21,100,0,0,0,0,
Dec_2015,17,100,0,0,0,0,
Jan_2016,18,100,0,0,0,0,
Feb_2016,22,100,0,0,0,0,
Mar_2016,24,100,0,0,0,0,
Apr_2016,23,100,0,0,0,0,
May_2016,25,100,1,4,0,0,
Jun_2016,16,94.11764706,11,64.70588235,11,64.70588235,
Jul_2016,23,100,12,52.17391304,12,52.17391304,
Aug_2016,25,100,8,32,8,32,
Sep_2016,25,100,0,0,0,0,
Oct_2016,26,100,0,0,0,0,
Nov_2016,22,100,0,0,0,0,
Dec_2016,25,100,0,0,0,0,
Jan_2017,26,100,0,0,0,0,
Feb_2017,22,100,0,0,0,0,
Mar_2017,24,96,0,0,0,0,"This month has at least one day where there is an empty processed folder, but no processed folder. This could possibly be due to data not being properly downloaded"
Apr_2017,12,100,0,0,0,0,
May_2017,17,100,13,76.47058824,13,76.47058824,
Jun_2017,16,88.88888889,11,61.11111111,11,61.11111111,"This month has at least one day where there is an empty processed folder, but no processed folder. This could possibly be due to data not being properly downloaded"
Jul_2017,25,100,20,80,20,80,
Aug_2017,22,100,7,31.81818182,7,31.81818182,
Sep_2017,23,100,0,0,0,0,
Oct_2017,25,100,0,0,0,0,
Nov_2017,23,100,0,0,0,0,
Dec_2017,25,100,0,0,0,0,
Jan_2018,21,100,0,0,0,0,
Feb_2018,20,100,0,0,0,0,
Mar_2018,20,100,0,0,0,0,
Apr_2018,23,100,0,0,0,0,
May_2018,12,100,1,8.333333333,0,0,
Jun_2018,9,100,0,0,0,0,
Jul_2018,10,100,1,10,1,10,
Aug_2018,9,100,1,11.11111111,0,0,
Sep_2018,24,100,0,0,0,0,
Oct_2018,24,96,0,0,0,0,
Nov_2018,24,100,1,4.166666667,0,0,
Dec_2018,26,100,1,3.846153846,0,0,
Jan_2019,25,100,1,4,0,0,
Feb_2019,23,100,1,4.347826087,0,0,
Mar_2019,24,100,0,0,0,0,
Apr_2019,23,100,0,0,0,0,
May_2019,2,100,0,0,0,0,
Jun_2019,18,100,3,16.66666667,0,0,
Jul_2019,25,100,5,20,0,0,
Aug_2019,24,100,0,0,0,0,
Sep_2019,23,100,0,0,0,0,
Oct_2019,25,100,1,4,0,0,
