"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"Run.Program","3","C:\Users\42gde\.conda\envs\physics_lab_assistant\python.exe C:/Users/42gde/PycharmProjects/physics_lab_tech_job/data_info_evaluating/main.py",,"PythonRunner",,"1685401985531","main.py",,,,,,
"o","3",,"Traceback (most recent call last):
",,"stderr","1685401988395",,,,,,,
"o","3",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\data_info_evaluating\main.py"", line 23, in <module>
",,"stderr","1685401988395",,,,,,,
"o","3",,"    readfiles.import_csv_to_df(path)
",,"stderr","1685401988395",,,,,,,
"o","3",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\data_info_evaluating\readinginfiles.py"", line 13, in import_csv_to_df
",,"stderr","1685401988395",,,,,,,
"o","3",,"    infile = pd.read_csv(path)
",,"stderr","1685401988396",,,,,,,
"o","3",,"             ^^^^^^^^^^^^^^^^^
",,"stderr","1685401988396",,,,,,,
"o","3",,"  File ""C:\Users\42gde\.conda\envs\physics_lab_assistant\Lib\site-packages\pandas\util\_decorators.py"", line 211, in wrapper
",,"stderr","1685401988396",,,,,,,
"o","3",,"    return func(*args, **kwargs)
",,"stderr","1685401988396",,,,,,,
"o","3",,"           ^^^^^^^^^^^^^^^^^^^^^
",,"stderr","1685401988396",,,,,,,
"o","3",,"  File ""C:\Users\42gde\.conda\envs\physics_lab_assistant\Lib\site-packages\pandas\util\_decorators.py"", line 331, in wrapper
",,"stderr","1685401988396",,,,,,,
"o","3",,"    return func(*args, **kwargs)
",,"stderr","1685401988396",,,,,,,
"o","3",,"           ^^^^^^^^^^^^^^^^^^^^^
",,"stderr","1685401988396",,,,,,,
"o","3",,"  File ""C:\Users\42gde\.conda\envs\physics_lab_assistant\Lib\site-packages\pandas\io\parsers\readers.py"", line 950, in read_csv
",,"stderr","1685401988396",,,,,,,
"o","3",,"    return _read(filepath_or_buffer, kwds)
",,"stderr","1685401988396",,,,,,,
"o","3",,"           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
",,"stderr","1685401988396",,,,,,,
"o","3",,"  File ""C:\Users\42gde\.conda\envs\physics_lab_assistant\Lib\site-packages\pandas\io\parsers\readers.py"", line 605, in _read
",,"stderr","1685401988396",,,,,,,
"o","3",,"    parser = TextFileReader(filepath_or_buffer, **kwds)
",,"stderr","1685401988396",,,,,,,
"o","3",,"             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
",,"stderr","1685401988396",,,,,,,
"o","3",,"  File ""C:\Users\42gde\.conda\envs\physics_lab_assistant\Lib\site-packages\pandas\io\parsers\readers.py"", line 1442, in __init__
",,"stderr","1685401988396",,,,,,,
