"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"File.Edit","# Gabriel Decker
# CS1400 - I01
# Assignment ??","","0","1685400868724","readinginfiles.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","47","1685400868890","readinginfiles.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1685400872949","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","# CS1400 - I01
# Assignment ??
","17","1685400872954","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873208","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","
","16","1685400873216","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873241","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","r","15","1685400873243","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873274","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","14","1685400873276","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873305","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","k","13","1685400873306","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873337","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","c","12","1685400873340","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873369","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","11","1685400873371","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873400","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","D","10","1685400873401","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873433","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","9","1685400873435","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873465","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","l","8","1685400873467","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873511","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","7","1685400873513","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873543","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","i","6","1685400873544","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873576","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","r","5","1685400873577","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873605","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","b","4","1685400873607","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873637","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","a","3","1685400873638","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873669","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","G","2","1685400873670","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873700","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","1","1685400873702","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873732","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","#","0","1685400873734","readinginfiles.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685400873764","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","Backspace",,,"1685400873794","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","Backspace",,,"1685400873827","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","Backspace",,,"1685400873858","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","Backspace",,,"1685400873906","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","Backspace",,,"1685400873938","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","EditorChange",,,"1685400878950","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"EditorChange",,,,,
"X-Action","Undefined",,,"1685400884797","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Undefined",,,,,
"X-Action","Renaming file data_information_processor_and_grapher.py to main.py",,,"1685400892922","readinginfiles.py","1.1.5 for 2021-2022 @t1",,"Renaming file data_information_processor_and_grapher.py to main.py",,,,,
