date,start,end,interference?,sky condition,possible wave?,wave most likely?,Quality Wave,main wave type,note,,Spreadsheet by Gabriel Decker,,,
2-Jan,,,1,mostly clear,1,1,0,"thin, fast columns",between 0012 and 0096,,,,,
3-Jan,,,1,clear,1,1,0,"thin, medium columns",between 0023 and 0118,,Note: 2020 data also present,,,
4-Jan,,,1,whispy clouds,1,0,0,,,,,,,
5-Jan,,,1,clear,1,1,0,"thin, slow columns",between 0123 and 0159,,,,,
6-Jan,,,1,mostly clear,1,0,0,,,,,,,
7-Jan,,,1,clear,1,1,0,"thin, slow columns",between 0116 and 0197,,,,,
8-Jan,,,1,clear,1,1,0,"thin, fast columns",between 0015 and 0219,,,,,
9-Jan,,,1,clear,1,1,0,"thin, fast columns",between 0018 and 0280,,,,,
10-Jan,,,1,clear,1,1,0,"squiggles: medium, fast",between 0012 and 0204,,,,,
11-Jan,,,1,mostly clear,1,1,0,"squiggles: thin, fast",between 0016 and 0249,,,,,
12-Jan,,,1,clear,0,0,0,,,,,,,
13-Jan,,,1,clear,1,1,0,"squiggles: thin, slow",between 0054 and 0284,,,,,
14-Jan,,,1,clear,1,1,0,"squiggles: thin, fast",between 0021 and 0288,,,,,
15-Jan,,,1,clear,1,1,0,"thin, fast columns",between 0017 and 0290,,,,,
16-Jan,,,1,mostly clear,1,1,0,"squiggles: thin, fast",between 0017 and 0250,,,,,
17-Jan,,,1,mostly clear,1,1,0,"squiggles: medium, fast",between 0015 and 0286,,,,,
18-Jan,,,1,mostly clear,1,1,0,"thin, medium columns",between 0163 and 0224,,,,,
19-Jan,,,1,clear,1,1,0,"squiggles: thin, fast",between 0000 and 0205,,,,,
20-Jan,,,1,clear,1,1,0,"squiggles: thin, fast",between 0100 and 0188,,,,,
21-Jan,,,1,"moon glare, clear",1,1,0,"squiggles: thin, fast ",between 0096 and 0181,,,,,
22-Jan,,,1,"moon glare, clear",1,1,0,"squiggles: medium, fast",between 0023 and 0160,,,,,
23-Jan,,,1,"moon glare, clear",1,1,0,"thin, fast columns",between 0061 and 0137,,,,,
24-Jan,,,1,clear,1,0,0,,,,Note: 2020 data also present,,,
25-Jan,,,1,"moon glare, clear",0,0,0,,,,,,,
1-Feb,,,1,"moon glare, clear",1,1,0,"squiggles: thick, fast",between 0019 and 0098,,,,,
2-Feb,,,1,"moon glare, clear",0,0,0,,,,,,,
3-Feb,,,1,whispy clouds,0,0,0,,,,,,,
4-Feb,,,1,clear,0,0,0,,,,,,,
5-Feb,,,1,clear,1,1,0,"thin, fast columns",between 0052 and 0102,,,,,
6-Feb,,,1,clear,1,1,0,"squiggles: thin, medium",between 0015 and 0163,,,,,
7-Feb,,,1,whispy clouds,1,1,0,"thin, medium columns",between 0016 and 0230,,,,,
8-Feb,,,1,clear,1,1,0,"medium, fast columns",between 0056 and 0137,,,,,
9-Feb,,,1,clear,0,0,0,,,,,,,
10-Feb,,,1,clear,1,1,0,"squiggles: medium, fast",between 0015 and 0163,,,,,
11-Feb,,,1,clear,0,0,0,,,,,,,
12-Feb,,,1,whispy clouds,0,0,0,,,,,,,
13-Feb,,,1,whispy clouds,0,0,0,,,,,,,
14-Feb,,,1,"moon glare, clear",0,0,0,,,,,,,
15-Feb,,,1,clear,0,0,0,,,,,,,
16-Feb,,,1,clear,1,1,0,"thin, fast columns",between 0071 and 0200,,,,,
17-Feb,,,1,clear,1,1,0,"thin, fast columns",between 0026 and 0084,,,,,
18-Feb,,,1,mostly clear,0,0,0,,,,Note: 2020 data also present,,,
19-Feb,,,1,"moon glare, clear",0,0,0,,,,,,,
20-Feb,,,1,"moon glare, clear",0,0,0,,,,Note: 2020 data also present,,,
21-Feb,,,1,"moon glare, clear",0,0,0,,,,Note: 2020 data also present,,,
22-Feb,,,1,"moon glare, clear",0,0,0,,,,,,,
23-Feb,,,1,"moon glare, clear",0,0,0,,,,,,,
2-Mar,,,1,"moon glare, clear",1,1,0,"thick, fast columns",between 0013 and 0177,,,,,
3-Mar,,,1,clear,1,1,0,"squiggles: medium, fast",between 0019 and 0107,,,,,
4-Mar,,,1,clear,1,0,0,,,,,,,
5-Mar,,,1,mostly clear,1,0,0,,,,,,,
6-Mar,,,1,clear,1,1,0,"medium, medium columns",between 0013 and 0183,,,,,
7-Mar,,,1,clear,1,1,0,"squiggles: thin, fast",between 0015 and 0124,,,,,
8-Mar,,,1,clear,1,1,0,"thin, medium columns",between 0166 and 0300,,,,,
9-Mar,,,1,clear,1,1,0,"thick, medium columns",between 0037 and 0183,,,,,
10-Mar,,,1,whispy clouds,0,0,0,,,,,,,
11-Mar,,,1,clear,1,1,0,"thin, medium columns",betweeen 0016 and 0292,,,,,
12-Mar,,,1,clear,1,1,0,"thin, fast columns",between 0054 and 0139,,,,,
13-Mar,,,1,clear,1,1,0,"squiggles: thin, fast",between 0019 and 0343,,,,,
14-Mar,,,1,partial cloudy,1,1,0,"thin, medium columns",between 0017 and 0307,,,,,
15-Mar,,,1,partial cloudy,1,1,0,"squiggles: thin, fast",between 0077 and 0337,,,,,
16-Mar,,,1,clear,0,0,0,,,,,,,
17-Mar,,,1,clear,0,0,0,,,,,,,
18-Mar,,,1,cloudy,0,0,0,,,,,,,
19-Mar,,,1,partial cloudy,0,0,0,,,,,,,
20-Mar,,,1,clear,1,1,0,"thin, fast columns",between 0028 and 0130,,,,,
21-Mar,,,1,"moon glare, clear",0,0,0,,,,,,,
22-Mar,,,1,"moon glare, clear",1,1,0,"thin, fast columns",between 0033 and 0216,,,,,
23-Mar,,,1,"moon glare, clear",0,0,0,,,,,,,
24-Mar,,,1,"moon glare, clear",0,0,0,,,,,,,
25-Mar,,,1,"moon glare, clear",1,1,0,"thin, fast columns",between 0051 and 0119,,,,,
31-Mar,,,1,clear,1,1,0,"squiggles: thin, fast",between 0046 and 0080,,,,,
1-Apr,,,1,clear,0,0,0,,,,,,,
2-Apr,,,1,mostly clear,0,0,0,,,,,,,
3-Apr,,,1,mostly clear,0,0,0,,,,,,,
4-Apr,,,1,clear,0,0,0,,,,,,,
5-Apr,,,1,clear,0,0,0,,,,,,,
6-Apr,,,1,clear,0,0,0,,,,,,,
7-Apr,,,1,clear,1,1,0,"medium, fast columns",between 0016 and 0279,,,,,
8-Apr,,,1,clear,0,0,0,,,,,,,
9-Apr,,,1,mostly clear,0,0,0,,,,,,,
10-Apr,,,1,clear,1,1,0,"squiggles: thin, slow",between 0010 and 0106,,,,,
11-Apr,,,1,mostly clear,0,0,0,,,,,,,
12-Apr,,,0.5,mostly clear,1,1,0,"squiggles: thin, fast",between 0013 and 0206,,,,,
30-Apr,,,1,mostly clear,0,0,0,,,,,,,
1-May,,,1,clear,0,0,0,,,,,,,
2-May,,,1,clear,0,0,0,,,,,,,
3-May,,,1,clear,0,0,0,,,,,,,
4-May,,,1,partial cloudy,0,0,0,,,,,,,
