date,start,end,interference?,sky condition,possible wave?,wave most likey?,Quality Wave,main wave type,note,,,Spreadsheet by Gabriel Decker,,
1-Jan,,,1,mostly clear,1,1,0,"thin, medium columns",between 0078 and 0147,,,,,
2-Jan,,,1,whispy clouds,1,1,0,single column,between 0128 and 0173,,,,,
3-Jan,,,1,whispy clouds,1,1,0,many types,between start and end,,,,,
4-Jan,,,1,whispy clouds,1,1,0,"thick, slow columns",between 0014 and ,,,,,Overall notes:
5-Jan,,,1,clear,1,1,0,"thin, slow columns",lots of  waves between start and end,,,,,"Weather: I may have been somewhat too conservative with my sky condition evaluations until about November. A lot of the time, I put whispy clouds if there was any moving air, despite being able to clearly see the stars in the background. Ex 3-Jan I marked as whispy clouds, but I would now mark as at least mostly clear."
6-Jan,,,1,mostly clear,1,1,0,"thin, slow columns",between start and 0243,,,,,Wave type: 
7-Jan,,,1,whispy clouds,1,0,0,,possible waves at beginning,,,,,
8-Jan,,,1,mostly clear,1,1,0,"medium, medium columns",between 0055 and end,,,,,
9-Jan,,,1,partial cloudy,1,1,0,standing waves,between start and 0106,,,,,
10-Jan,,,1,cloudy,0,0,0,,,,,,,
11-Jan,,,1,partial cloudy,1,1,0,"thin, fast columns",between 0064 and 0136,,,,,
12-Jan,,,1,clear,0,0,0,,,,,,,
13-Jan,,,1,cloudy,0,0,0,,,,,,,
14-Jan,,,1,cloudy,0,0,0,,,,,,,
21-Jan,,,1,mostly clear,1,1,0,"thin, fast columns",between 0008 and 0085,,,,,
22-Jan,,,1,whispy clouds,1,0,0,,between start and end,,,,,
23-Jan,,,1,partial cloudy,1,1,0,"thin, slow columns",between 0024 and 0065,,,,,
24-Jan,,,1,whispy clouds,0,0,0,,,,,,,
25-Jan,,,1,mostly clear,1,0,0,,between 0037 and 0136,,,,,
26-Jan,,,1,whispy clouds,1,1,0,"thin, fast columns",between 0017 and end,,,,,
27-Jan,,,1,mostly clear,1,1,0,"thin, fast columns",between 0014 and 0099,,,,,
28-Jan,,,1,whispy clouds,1,1,0,single column,between 0056 and 0111,,,,,
29-Jan,,,1,mostly clear,1,1,0,"thick, medium columns",between 0032 and 0124,,,,,
