date,start,end,interference?,sky condition,possible wave?,wave most likey?,Quality Wave,main wave type,note,,,Spreadsheet by Gabriel Decker
1-Jan,0,116,0,"glare, clear",1,1,0,"thin, fast columns",between 0000 and 0116,,,Note: big parts of this data isn't processed because the interference makes the proceessed data hard to use
2-Jan,0,102,0,"glare, mostly clear",1,1,0,"medium, fast columns",between 0000 and 0102,,,
3-Jan,0,81,0,"glare, clear",1,1,0,"thin, medium columns",between 0000 and 0081,,,
10-Jan,21,80,0,"glare, clear",1,1,0,"thick, slow columns",between 0021 and 0089,,,
11-Jan,19,97,0,"glare, clear",1,1,0,"thin, fast columns",between 0018 and 0106,,,
12-Jan,,,1,"glare, clear",1,1,0,"medium, medium columns",between 0021 and 0122,,,
13-Jan,,,1,"glare, clear",0,0,0,,,,,
14-Jan,,,1,"glare, clear",1,1,0,"medium, medium columns",between 0089 and 0155,,,
15-Jan,23,171,0.3,clear,1,1,0,"medium, slow columns",between 0023 and 0171,,,
16-Jan,16,190,0.4,clear,1,1,1,"thin, medium columns",between 0016 and 0190,,,
17-Jan,,,1,clear,1,1,0,"squiggles: thin, medium",between 0124 and 0212,,,
18-Jan,,,1,clear,1,1,0,"medium, fast columns",between 0039 and 0282,,,
19-Jan,,,0.4,clear,1,1,0,"thin, slow columns",between 0075 and 0247,,,
20-Jan,19,211,0.3,mostly clear,1,1,0,"thin, medium columns",between 0019 and 0106,,,
21-Jan,22,288,0.3,clear,1,1,1,many types,between 0021 and 0285,,,
22-Jan,22,288,0.2,clear,1,1,0,"squiggles: thin, fast",between 0020 and 0286,,,
23-Jan,18,291,0,clear,1,1,0,"thin, medium columns",between 0017 and 0289,,,
24-Jan,22,288,0.5,clear,1,1,0,"thin, fast columns",between 0020 and 0288,,,
25-Jan,,,0.4,clear,1,1,0,"thin, fast columns",between 0022 and 0291,,,
26-Jan,0,240,0,mostly clear,1,1,1,"medium, fast columns",between 0000 and 0241,,,
27-Jan,,,0.2,stuff on camera,1,0,0,,,,,
28-Jan,0,207,0.2,whispy clouds,1,1,1,"thin, fast columns",between 0000 and 0206,,,
29-Jan,,,0,mostly clear,1,0,0,,,,,
9-Feb,,,0.3,"glare, clear",1,1,0,"thin, fast columns",between 0016 and 0074,,,
10-Feb,,,0.3,"glare, mostly clear",1,0,0,,between start and end,,,
11-Feb,,,0.3,"glare, clear",0,0,0,,,,,
12-Feb,,,0.4,mostly clear,1,0,0,,between 0034 and 95,,,
13-Feb,19,153,0.3,clear,1,1,0,"thin, fast columns",between 0019 and end,,,
14-Feb,,,0.5,mostly clear,1,1,0,"thin, fast columns",between 0124 and end,,,
15-Feb,21,155,0.5,clear,1,1,0,"squiggles: thin, fast",between 0021 and 0155,,,
16-Feb,,,0.4,clear,1,1,0,"medium, slow columns",between 0019 and 311,,,
17-Feb,160,310,0.3,clear,1,1,0,"squiggles: medium, medium",between 0160 and 310,,,
18-Feb,,,1,clear,0,0,0,,,,,
19-Feb,,,1,clear,0,0,0,,,,,
20-Feb,,,1,clear,0,0,0,,,,,
21-Feb,,,0.3,clear,1,1,0,"medium, slow columns",between 0030 and 0141,,,
