"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"Run.Program","4","C:\Users\42gde\.conda\envs\physics_lab_assistant\python.exe ""C:/Users/42gde/PycharmProjects/physics_lab_tech_job/interference and wave correlation/main.py""",,"PythonRunner",,"1692117462959","main.py",,,,,,
"o","4",,"       date  interference?  possible wave?
",,"stdout","1692117464703",,,,,,,
"o","4",,"0     2-Jan            1.0             1.0
",,"stdout","1692117464703",,,,,,,
"o","4",,"1     3-Jan            1.0             1.0
",,"stdout","1692117464703",,,,,,,
"o","4",,"2     4-Jan            1.0             1.0
",,"stdout","1692117464703",,,,,,,
"o","4",,"3     5-Jan            1.0             1.0
",,"stdout","1692117464703",,,,,,,
"o","4",,"4     6-Jan            1.0             1.0
",,"stdout","1692117464703",,,,,,,
"o","4",,"..      ...            ...             ...
",,"stdout","1692117464704",,,,,,,
"o","4",,"271  27-Dec            1.0             1.0
",,"stdout","1692117464704",,,,,,,
"o","4",,"272  28-Dec            1.0             1.0
",,"stdout","1692117464704",,,,,,,
"o","4",,"273  29-Dec            1.0             1.0
",,"stdout","1692117464704",,,,,,,
"o","4",,"274  30-Dec            1.0             1.0
",,"stdout","1692117464704",,,,,,,
"o","4",,"275  31-Dec            1.0             1.0
",,"stdout","1692117464704",,,,,,,
"o","4",,"
",,"stdout","1692117464704",,,,,,,
"o","4",,"[276 rows x 3 columns]
",,"stdout","1692117464704",,,,,,,
"o","4",,"       date interference?  possible wave?
",,"stdout","1692117464782",,,,,,,
"o","4",,"0     1-Jan             1             1.0
",,"stdout","1692117464782",,,,,,,
"o","4",,"1     2-Jan             1             1.0
",,"stdout","1692117464782",,,,,,,
"o","4",,"2     3-Jan             1             1.0
",,"stdout","1692117464782",,,,,,,
"o","4",,"3     4-Jan             1             1.0
",,"stdout","1692117464782",,,,,,,
"o","4",,"4     5-Jan             1             1.0
",,"stdout","1692117464782",,,,,,,
"o","4",,"..      ...           ...             ...
",,"stdout","1692117464782",,,,,,,
"o","4",,"282  27-Dec             0             1.0
",,"stdout","1692117464782",,,,,,,
"o","4",,"283  28-Dec             0             1.0
",,"stdout","1692117464782",,,,,,,
