"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"File.Edit","P","","0","1692114586391","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","P",,"1","1692114586405","plan.txt","1.1.5 for 2021-2022 @t1",,"P",,,,,
"File.Edit","u","","1","1692114586534","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","u",,"2","1692114586538","plan.txt","1.1.5 for 2021-2022 @t1",,"u",,,,,
"File.Edit","r","","2","1692114586583","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"3","1692114586584","plan.txt","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","p","","3","1692114586756","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"4","1692114586756","plan.txt","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","o","","4","1692114586775","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"5","1692114586775","plan.txt","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","s","","5","1692114586899","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"6","1692114586900","plan.txt","1.1.5 for 2021-2022 @t1",,"s",,,,,
"File.Edit","e","","6","1692114587277","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"7","1692114587277","plan.txt","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit"," ","","7","1692114587427","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"8","1692114587431","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","o","","8","1692114587533","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"9","1692114587534","plan.txt","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","f","","9","1692114587598","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"10","1692114587598","plan.txt","1.1.5 for 2021-2022 @t1",,"f",,,,,
"File.Edit"," ","","10","1692114587669","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"11","1692114587670","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","h","","11","1692114587913","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"12","1692114587913","plan.txt","1.1.5 for 2021-2022 @t1",,"h",,,,,
"File.Edit","e","","12","1692114587994","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"13","1692114587994","plan.txt","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Action","Backspace",,,"1692114588313","plan.txt","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","12","1692114588329","plan.txt","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1692114588462","plan.txt","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","h","11","1692114588463","plan.txt","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","t","","11","1692114588560","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"12","1692114588561","plan.txt","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","h","","12","1692114588666","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"13","1692114588667","plan.txt","1.1.5 for 2021-2022 @t1",,"h",,,,,
"File.Edit","e","","13","1692114588716","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"14","1692114588717","plan.txt","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit"," ","","14","1692114588768","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"15","1692114588769","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","p","","15","1692114588869","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"16","1692114588870","plan.txt","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","16","1692114588998","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"17","1692114588999","plan.txt","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","o","","17","1692114589101","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"18","1692114589102","plan.txt","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","g","","18","1692114589479","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","g",,"19","1692114589479","plan.txt","1.1.5 for 2021-2022 @t1",,"g",,,,,
"File.Edit","r","","19","1692114589611","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"20","1692114589612","plan.txt","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","a","","20","1692114589709","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"21","1692114589710","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","m","","21","1692114589774","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"22","1692114589775","plan.txt","1.1.5 for 2021-2022 @t1",,"m",,,,,
"File.Edit",";","","22","1692114590016","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",";",,"23","1692114590016","plan.txt","1.1.5 for 2021-2022 @t1",,";",,,,,
"File.Edit"," ","","23","1692114590131","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"24","1692114590131","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1692114590653","plan.txt","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","23","1692114590655","plan.txt","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1692114590798","plan.txt","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","",";","22","1692114590800","plan.txt","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit",":","","22","1692114591087","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"23","1692114591087","plan.txt","1.1.5 for 2021-2022 @t1",,":",,,,,
"File.Edit"," ","","23","1692114591174","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"24","1692114591175","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","d","","24","1692114591871","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","d",,"25","1692114591872","plan.txt","1.1.5 for 2021-2022 @t1",,"d",,,,,
"File.Edit","o","","25","1692114591919","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"26","1692114591919","plan.txt","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit"," ","","26","1692114592006","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"27","1692114592007","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","a","","27","1692114595539","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"28","1692114595540","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Action","Backspace",,,"1692114595869","plan.txt","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","a","27","1692114595871","plan.txt","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","d","","27","1692114595923","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","d",,"28","1692114595923","plan.txt","1.1.5 for 2021-2022 @t1",,"d",,,,,
"File.Edit","a","","28","1692114596032","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"29","1692114596033","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","t","","29","1692114596122","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"30","1692114596123","plan.txt","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","a","","30","1692114596194","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"31","1692114596195","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit"," ","","31","1692114596293","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"32","1692114596294","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","a","","32","1692114596791","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"33","1692114596792","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","n","","33","1692114597018","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"34","1692114597018","plan.txt","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","a","","34","1692114597142","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"35","1692114597142","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","l","","35","1692114597238","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","l",,"36","1692114597239","plan.txt","1.1.5 for 2021-2022 @t1",,"l",,,,,
"File.Edit","y","","36","1692114597411","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","y",,"37","1692114597412","plan.txt","1.1.5 for 2021-2022 @t1",,"y",,,,,
"File.Edit","s","","37","1692114597799","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"38","1692114597799","plan.txt","1.1.5 for 2021-2022 @t1",,"s",,,,,
"File.Edit","i","","38","1692114597894","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"39","1692114597895","plan.txt","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","s","","39","1692114597958","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"40","1692114597959","plan.txt","1.1.5 for 2021-2022 @t1",,"s",,,,,
"File.Edit"," ","","40","1692114598074","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"41","1692114598074","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","a","","41","1692114599256","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"42","1692114599257","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","n","","42","1692114599323","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"43","1692114599323","plan.txt","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","d","","43","1692114599413","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","d",,"44","1692114599413","plan.txt","1.1.5 for 2021-2022 @t1",,"d",,,,,
"File.Edit"," ","","44","1692114599454","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"45","1692114599455","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","o","","45","1692114599801","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"46","1692114599802","plan.txt","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","u","","46","1692114599881","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","u",,"47","1692114599881","plan.txt","1.1.5 for 2021-2022 @t1",,"u",,,,,
"File.Edit","t","","47","1692114599963","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"48","1692114599964","plan.txt","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","p","","48","1692114600206","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"49","1692114600207","plan.txt","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","u","","49","1692114600255","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","u",,"50","1692114600255","plan.txt","1.1.5 for 2021-2022 @t1",,"u",,,,,
"File.Edit","t","","50","1692114600347","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"51","1692114600348","plan.txt","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit"," ","","51","1692114600407","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"52","1692114600407","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","a","","52","1692114600742","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"53","1692114600743","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit"," ","","53","1692114600865","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"54","1692114600866","plan.txt","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","g","","54","1692114601315","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","g",,"55","1692114601315","plan.txt","1.1.5 for 2021-2022 @t1",,"g",,,,,
"File.Edit","r","","55","1692114601486","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"56","1692114601487","plan.txt","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","a","","56","1692114601655","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"57","1692114601656","plan.txt","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","p","","57","1692114601747","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"58","1692114601747","plan.txt","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","j","","58","1692114601832","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","j",,"59","1692114601833","plan.txt","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Action","Backspace",,,"1692114602224","plan.txt","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","j","58","1692114602226","plan.txt","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","h","","58","1692114602466","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"59","1692114602467","plan.txt","1.1.5 for 2021-2022 @t1",,"h",,,,,
"File.Edit",".","","59","1692114603243","plan.txt","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",".",,"60","1692114603243","plan.txt","1.1.5 for 2021-2022 @t1",,".",,,,,
