"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"Run.Program","3","C:\Users\42gde\.conda\envs\physics_lab_assistant\python.exe C:/Users/42gde/PycharmProjects/physics_lab_tech_job/other/file_name_return.py",,"PythonRunner",,"1685729830604","file_name_return.py",,,,,,
"o","3",,"Traceback (most recent call last):
",,"stderr","1685729861229",,,,,,,
"o","3",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\other\file_name_return.py"", line 46, in <module>
",,"stderr","1685729861230",,,,,,,
"o","3",,"    main()
",,"stderr","1685729861230",,,,,,,
"o","3",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\other\file_name_return.py"", line 31, in main
",,"stderr","1685729861230",,,,,,,
"o","3",,"    name_mode = int(input(""What filename do you want? ""))
",,"stderr","1685729861230",,,,,,,
"o","3",,"                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
",,"stderr","1685729861230",,,,,,,
"o","3",,"  File ""<frozen codecs>"", line 319, in decode
",,"stderr","1685729861230",,,,,,,
"o","3",,"KeyboardInterrupt
",,"stderr","1685729861230",,,,,,,
"o","3",,"
Process finished with exit code -1073741510 (0xC000013A: interrupted by Ctrl+C)
",,"system","1685729861230",,,,,,,
"Run.Program","4","C:\Users\42gde\.conda\envs\physics_lab_assistant\python.exe C:/Users/42gde/PycharmProjects/physics_lab_tech_job/other/file_name_return.py",,"PythonRunner",,"1685729861381","file_name_return.py",,,,,,
"o","4",,"Filters:
",,"stdout","1685729866288",,,,,,,
"o","4",,"	1) BG
",,"stdout","1685729866288",,,,,,,
"o","4",,"	2) P12A
",,"stdout","1685729866288",,,,,,,
"o","4",,"	P14A
",,"stdout","1685729866288",,,,,,,
"o","4",,"Which filter? ",,"stdout","1685729866288",,,,,,,
"o","4",,"Traceback (most recent call last):
",,"stderr","1685729877536",,,,,,,
"o","4",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\other\file_name_return.py"", line 46, in <module>
",,"stderr","1685729877536",,,,,,,
"o","4",,"    main()
",,"stderr","1685729877536",,,,,,,
"o","4",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\other\file_name_return.py"", line 41, in main
",,"stderr","1685729877536",,,,,,,
"o","4",,"    filter_name = filter_chooser()
",,"stderr","1685729877536",,,,,,,
"o","4",,"                  ^^^^^^^^^^^^^^^^
",,"stderr","1685729877536",,,,,,,
"o","4",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\other\file_name_return.py"", line 18, in filter_chooser
",,"stderr","1685729877536",,,,,,,
"o","4",,"    filter_chosen = int(input('Which filter? '))
",,"stderr","1685729877536",,,,,,,
"o","4",,"                        ^^^^^^^^^^^^^^^^^^^^^^^
",,"stderr","1685729877536",,,,,,,
"o","4",,"  File ""<frozen codecs>"", line 319, in decode
",,"stderr","1685729877536",,,,,,,
"o","4",,"KeyboardInterrupt
",,"stderr","1685729877536",,,,,,,
"o","4",,"
Process finished with exit code -1073741510 (0xC000013A: interrupted by Ctrl+C)
",,"system","1685729877536",,,,,,,
"Run.Program","5","C:\Users\42gde\.conda\envs\physics_lab_assistant\python.exe C:/Users/42gde/PycharmProjects/physics_lab_tech_job/other/file_name_return.py",,"PythonRunner",,"1685729877685","file_name_return.py",,,,,,
"o","5",,"Filters:
",,"stdout","1685729879219",,,,,,,
"o","5",,"	1) BG
",,"stdout","1685729879219",,,,,,,
"o","5",,"	2) P12A
",,"stdout","1685729879219",,,,,,,
"o","5",,"	3) P14A
",,"stdout","1685729879219",,,,,,,
"o","5",,"Which filter? ",,"stdout","1685729879219",,,,,,,
"o","5",,"Enter the beginning number: ",,"stdout","1685729884249",,,,,,,
"o","5",,"Enter the ending number: ",,"stdout","1685729889249",,,,,,,
"o","5",,"FFP12A0400-0401.tif
",,"stdout","1685729894023",,,,,,,
"o","5",,"1) End file for mean image making (ex: P12A_sr0003)
",,"stdout","1685729894023",,,,,,,
"o","5",,"2) Mean Image Filename (ex: FF_BG_0001-0400)
",,"stdout","1685729894023",,,,,,,
"o","5",,"What filename do you want? ",,"stdout","1685729894023",,,,,,,
"o","5",,"Traceback (most recent call last):
",,"stderr","1685729984548",,,,,,,
"o","5",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\other\file_name_return.py"", line 46, in <module>
",,"stderr","1685729984548",,,,,,,
"o","5",,"    main()
",,"stderr","1685729984548",,,,,,,
"o","5",,"  File ""C:\Users\42gde\PycharmProjects\physics_lab_tech_job\other\file_name_return.py"", line 31, in main
",,"stderr","1685729984548",,,,,,,
"o","5",,"    name_mode = int(input(""What filename do you want? ""))
",,"stderr","1685729984548",,,,,,,
"o","5",,"                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
",,"stderr","1685729984548",,,,,,,
"o","5",,"  File ""<frozen codecs>"", line 319, in decode
",,"stderr","1685729984548",,,,,,,
"o","5",,"KeyboardInterrupt
",,"stderr","1685729984548",,,,,,,
"o","5",,"
Process finished with exit code -1073741510 (0xC000013A: interrupted by Ctrl+C)
",,"system","1685729984549",,,,,,,
