"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"File.Edit","# Gabriel Decker
# CS1400 - I01
# Assignment ??","","0","1685727794434","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","47","1685727794635","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1685727796527","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","# Gabriel Decker
# CS1400 - I01
# Assignment ??
","0","1685727796536","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","g","","0","1685727825264","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","g",,"1","1685727825267","file_name_return.py","1.1.5 for 2021-2022 @t1",,"g",,,,,
"File.Edit","i","","1","1685727825334","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"2","1685727825335","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","v","","2","1685727825607","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","v",,"3","1685727825611","file_name_return.py","1.1.5 for 2021-2022 @t1",,"v",,,,,
"File.Edit","e","","3","1685727825745","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"4","1685727825746","file_name_return.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit","n","","4","1685727825824","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"5","1685727825824","file_name_return.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit"," ","","5","1685727825945","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"6","1685727825956","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1685727826207","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","5","1685727826223","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727826469","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","n","4","1685727826471","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727826501","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","3","1685727826502","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727826532","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","v","2","1685727826535","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727826567","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","i","1","1685727826568","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727826596","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","g","0","1685727826599","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727826625","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","Backspace",,,"1685727826658","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Action","Backspace",,,"1685727826689","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"X-Keystroke","g",,"1","1685727825267","file_name_return.py","1.1.5 for 2021-2022 @t1",,"g",,,,,
"X-Keystroke","i",,"2","1685727825335","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","v",,"3","1685727825611","file_name_return.py","1.1.5 for 2021-2022 @t1",,"v",,,,,
"X-Keystroke","e",,"4","1685727825746","file_name_return.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke","n",,"5","1685727825824","file_name_return.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke"," ",,"6","1685727825956","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","""",,"1","1685727832146","file_name_return.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","""",,"2","1685727832405","file_name_return.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","""",,"3","1685727832910","file_name_return.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","""",,"4","1685727834216","file_name_return.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit","""","","0","1685727832143","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""","","1","1685727832144","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"1","1685727832146","file_name_return.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Keystroke","""",,"2","1685727832405","file_name_return.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit","""","","2","1685727832909","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","""""""","","3","1685727832910","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"3","1685727832910","file_name_return.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"File.Edit","""","","6","1685727834216","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","""",,"4","1685727834217","file_name_return.py","1.1.5 for 2021-2022 @t1",,"""",,,,,
"X-Action","Right",,,"1685727836913","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Right",,,,,
"X-Action","Right",,,"1685727837160","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Right",,,,,
"X-Action","Right",,,"1685727837192","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Right",,,,,
"X-Action","Backspace",,,"1685727838210","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","""","6","1685727838212","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727838410","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","""","5","1685727838412","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727838885","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","""","4","1685727838887","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727839407","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","""","3","1685727839409","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Enter",,,"1685727840031","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
""""""","","3","1685727840053","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","4","1685727840055","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1685727841552","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","5","1685727841554","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Up",,,"1685727842312","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Keystroke","G",,"5","1685727843870","file_name_return.py","1.1.5 for 2021-2022 @t1",,"G",,,,,
"X-Keystroke","i",,"6","1685727843992","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","v",,"7","1685727844094","file_name_return.py","1.1.5 for 2021-2022 @t1",,"v",,,,,
