"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1685660242333",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1685727717605",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1685749212132",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1685990628475",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","Outside edit","","","1686190447182","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Outside Edit",,,,,
"X-Action","ShowYourWork Init","","","1686190447280",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1686849447823",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","Outside edit","","","1686859427835","processed_folder_creator.py","1.1.5 for 2021-2022 @t1",,"Outside Edit",,,,,
"X-Action","ShowYourWork Init","","","1686859428167",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1686864592460",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687185962957",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687188371217",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687228587774",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687232034071",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687550698597",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687907796972",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687967262043",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687968549902",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1687970288365",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
